cam,speed,iso,dist,sigma_motion,theory_blur,eta,eta_pct_dev,blur_err_pct
cam1,80,800,3.5,2.5953759755175403,3.703703703703704,0.7007515133897357,-29.924848661026427,29.854703364390804
cam1,80,800,4.5,2.7848224966536876,3.703703703703704,0.7519020740964956,-24.809792590350444,24.734527117467906
cam2,60,100,2.5,2.212247474603348,2.777777777777778,0.7964090908572051,-20.359090914279488,20.422752712109784
cam2,60,100,3.5,1.695610345699876,2.777777777777778,0.6104197244519552,-38.958027554804474,39.00682209712675
cam2,60,100,4.5,1.0255585650611916,2.777777777777778,0.3692010834220289,-63.079891657797106,63.10940413448951
cam2,60,1600,3.5,0.9929071373161396,2.777777777777778,0.3574465694338102,-64.25534305661897,64.28391592387987
cam2,60,1600,4.5,0.1189863437542265,2.777777777777778,0.042835083751521535,-95.71649162484785,95.719915692294
cam2,60,200,2.5,1.8991611349564124,2.777777777777778,0.6836980085843084,-31.63019914156916,31.684851260560706
cam2,60,200,3.5,1.4515396335244546,2.777777777777778,0.5225542680688036,-47.74457319311964,47.78634411782537
cam2,60,400,2.5,2.5027046134021584,2.777777777777778,0.9009736608247769,-9.902633917522309,9.974654194166956
cam2,60,400,3.5,2.0610584052859835,2.777777777777778,0.741981025902954,-25.8018974097046,25.86120844295023
cam2,60,400,4.5,0.6120994533086448,2.777777777777778,0.2203558031911121,-77.96441968088878,77.98203405364586
cam2,60,800,2.5,1.7690023263888692,2.777777777777778,0.6368408374999929,-36.31591625000071,36.36682279176729
cam2,60,800,3.5,2.04505747511668,2.777777777777778,0.7362206910420047,-26.37793089579953,26.43678147062301
cam2,80,100,2.5,3.019371765678251,3.703703703703704,0.8152303767331277,-18.47696232668723,18.395357684371596
cam2,80,100,3.5,2.7208204644922827,3.703703703703704,0.7346215254129163,-26.537847458708374,26.464311770478847
cam2,80,100,4.5,2.1506531630594874,3.703703703703704,0.5806763540260615,-41.93236459739384,41.87423883623007
cam2,80,1600,2.5,6.2982340344833965,3.703703703703704,1.7005231893105168,70.05231893105169,70.22254147252423
cam2,80,1600,3.5,2.0200524193345837,3.703703703703704,0.5454141532203375,-45.45858467796625,45.40398866663288
cam2,80,1600,4.5,2.0539005384572544,3.703703703703704,0.5545531453834586,-44.54468546165414,44.48917463629042
cam2,80,200,2.5,2.738253025129274,3.703703703703704,0.7393283167849038,-26.067168321509616,25.9931614829926
cam2,80,200,3.5,2.686029873527375,3.703703703703704,0.7252280658523911,-27.47719341476089,27.404598012773658
cam2,80,200,4.5,2.220294174703483,3.703703703703704,0.5994794271699403,-40.05205728300597,39.99204933233831
cam2,80,400,2.5,2.8962876941711793,3.703703703703704,0.7819976774262183,-21.80023225737817,21.72195421158975
cam2,80,400,3.5,2.7826002583071228,3.703703703703704,0.751302069742923,-24.869793025707697,24.79458761332101
cam2,80,400,4.5,2.4564918798796773,3.703703703703704,0.6632528075675128,-33.67471924324872,33.60832757081953
cam2,80,800,2.5,2.4325475843238924,3.703703703703704,0.6567878477674509,-34.32121522325491,34.25547069394886
cam2,80,800,3.5,2.7826002583071228,3.703703703703704,0.751302069742923,-24.869793025707697,24.79458761332101
cam2,80,800,4.5,1.850299479345251,3.703703703703704,0.49958085942321767,-50.04191405767824,49.99190596364187
