width_mm,pod_point,pod_wald_lo,pod_wald_hi,pod_boot_med,pod_boot_lo,pod_boot_hi
0.05000000000000001,0.23746145405717478,0.135296329878655,0.3826356744137608,0.22921918244002687,0.1005020586523647,0.4271810205854599
0.050935498048435834,0.2418733672364191,0.1388596332022458,0.3869672464368108,0.23345251704594092,0.10348433327373749,0.4315731203570995
0.0518884992288442,0.24634077046601463,0.14250030839269567,0.39131873975958026,0.2378773505323099,0.10639356432596395,0.43594385241157446
0.05285933102414115,0.25086338320691576,0.1462191702171159,0.39568960891143806,0.2424050245592482,0.10948462305258706,0.44034189247355787
0.0538483270444353,0.2554408851856616,0.15001699520495074,0.40007929848787727,0.24673543821363841,0.11268158217941224,0.4453221123808014
0.05485582714166734,0.2600729157472981,0.153894518874809,0.40448724346091053,0.25112863888639214,0.11609611035950745,0.4505567582818709
0.05588217752639459,0.26475907325429293,0.15785243291093043,0.4089128695036411,0.25579551339657314,0.11959401172597027,0.4555011524942742
0.05692773088676032,0.2694989145343635,0.1618913822950189,0.4133555933288087,0.26079964788731086,0.1229289042508998,0.4604543363739889
0.0579928465096892,0.2742919543800982,0.16601196239973515,0.41781482304108014,0.2657996680730194,0.1262205284690071,0.465384176084914
0.059077890404350256,0.2791376651032059,0.17021471605070895,0.42228995850283035,0.27075699209174464,0.12970046410819347,0.47020490463158515
0.060183235427929756,0.28403547614616054,0.17450013056450278,0.42678039171313426,0.27563590017378203,0.13319520029984086,0.4747450144812465
0.0613092614137574,0.2889847737539364,0.17886863477053394,0.43128550719966313,0.280625115021073,0.13676588498723063,0.4786268857128128
0.062456355301829636,0.2939849007084384,0.18332059602553136,0.43580468242315773,0.28563570829833945,0.14041679870456672,0.48298897002808777
0.06362491127177516,0.29903515612812515,0.18785631722966614,0.44033728819411994,0.2906687848365066,0.14414891040590777,0.48705472586695125
0.0648153308783081,0.3041347953352092,0.19247603385404996,0.44488268910134826,0.29602894051548,0.14789860752225586,0.4919162971078357
0.06602802318921568,0.3092830297926839,0.19717991098982626,0.4494402439519094,0.3012230910500664,0.15120755486516235,0.4960978656892452
0.06726340492592742,0.31447902711328074,0.20196804042959932,0.45400930622212343,0.3065745796343463,0.1555174076012687,0.4999469888856382
0.0685219006067145,0.31972191114230275,0.20684043779242897,0.4585892245191092,0.31213518790014827,0.15996286834182546,0.5065453289952129
0.06980394269256839,0.32501076211610663,0.21179703970408018,0.4631793430524203,0.3177916753210426,0.1644417137630062,0.5111275410188326
0.07110997173580887,0.33034461689781697,0.21683770104463054,0.46777900211527224,0.3229078949368827,0.1692459858575889,0.5154591884340152
0.07244043653147238,0.33572246929166144,0.22196219227591998,0.47238753857484667,0.3283681488192506,0.17415792366297125,0.5197885143471181
0.07379579427153297,0.34114327043710174,0.22717019686164996,0.47700428637113107,0.3341123939128817,0.17875183387314883,0.5242162790217139
0.0751765107020088,0.34660592928371337,0.23246130879321444,0.4816285770237322,0.3397374085040278,0.18327479249626963,0.5303936790126488
0.07658306028300768,0.35210931314753324,0.2378350302345568,0.4862597401460796,0.345756401347247,0.18788601295293622,0.5354384454635426
0.07801592635176761,0.3576522483493539,0.24329076929949633,0.4908971039664155,0.3515795412138837,0.19256923640921947,0.5410332627577781
0.07947560128874745,0.36323352093518724,0.24882783797504188,0.49553999585494257,0.35733074980682145,0.19657886162376684,0.5466177539602696
0.08096258668682518,0.3688518774788621,0.25444545020421133,0.500187742856481,0.362722017095485,0.20116657650965894,0.5521065873738983
