metric,group,width_mm,pod
C_M,high,0.05,0.38872596806242027
C_M,high,0.060000000000000005,0.3955444598833238
C_M,high,0.07,0.4024038187888755
C_M,high,0.08,0.40930158242734116
C_M,high,0.09,0.41623522921054856
C_M,high,0.1,0.42320218174607915
C_M,high,0.11,0.43019981045033695
C_M,high,0.12000000000000001,0.43722543733258395
C_M,high,0.13,0.44427633993908827
C_M,high,0.14,0.4513497554456355
C_M,high,0.15000000000000002,0.4584428848858151
C_M,high,0.16,0.4655528975017155
C_M,high,0.16999999999999998,0.47267693520295817
C_M,high,0.18,0.4798121171193673
C_M,high,0.19,0.48695554423202897
C_M,high,0.2,0.4941043040670256
C_M,high,0.21000000000000002,0.5012554754357682
C_M,high,0.22000000000000003,0.5084061332055648
C_M,high,0.22999999999999998,0.5155533530838904
C_M,high,0.24,0.5226942163997362
C_M,high,0.25,0.5298258148654397
C_M,high,0.26,0.536945255302506
C_M,high,0.27,0.5440496643151521
C_M,high,0.28,0.5511361928956098
C_M,high,0.29,0.5582020209456299
C_M,high,0.3,0.5652443616991213
C_M,high,0.31,0.5722604660314357
C_M,high,0.32,0.5792476266414645
C_M,high,0.33,0.5862031820934518
C_M,high,0.33999999999999997,0.5931245207062185
C_M,high,0.35,0.6000090842783575
C_M,high,0.36,0.6068543716388746
C_M,high,0.37,0.6136579420137038
C_M,high,0.38,0.6204174181995297
C_M,high,0.39,0.6271304895373722
C_M,high,0.4,0.633794914679441
C_M,high,0.41,0.640408524143829
C_M,high,0.42,0.6469692226526823
C_M,high,0.43,0.6534749912505542
C_M,high,0.44,0.6599238892007031
C_M,high,0.45,0.6663140556581376
C_M,high,0.46,0.6726437111192282
C_M,high,0.47,0.6789111586486902
C_M,high,0.48,0.6851147848856949
C_M,high,0.49,0.6912530608317715
C_M,high,0.5,0.6973245424240309
C_M,high,0.51,0.7033278708980482
C_M,high,0.52,0.7092617729455061
C_M,high,0.53,0.7151250606723972
C_M,high,0.54,0.7209166313642317
C_M,high,0.55,0.7266354670652708
C_M,high,0.56,0.7322806339793354
C_M,high,0.5700000000000001,0.7378512817001859
C_M,high,0.5800000000000001,0.7433466422798699
C_M,high,0.5900000000000001,0.7487660291437644
C_M,high,0.6000000000000001,0.7541088358613037
C_M,high,0.6100000000000001,0.7593745347816044
C_M,high,0.6200000000000001,0.7645626755433389
C_M,high,0.63,0.7696728834683148
C_M,high,0.64,0.77470485784825
C_M,high,0.65,0.7796583701342331
C_M,high,0.66,0.7845332620382934
C_M,high,0.67,0.78932944355641
C_M,high,0.68,0.7940468909221411
C_M,high,0.6900000000000001,0.7986856444998768
C_M,high,0.7000000000000001,0.8032458066264971
C_M,high,0.7100000000000001,0.8077275394099789
C_M,high,0.7200000000000001,0.8121310624932073
C_M,high,0.7300000000000001,0.8164566507909622
C_M,high,0.7400000000000001,0.8207046322077177
C_M,high,0.7500000000000001,0.824875385343562
C_M,high,0.76,0.8289693371951896
C_M,high,0.77,0.8329869608585572
C_M,high,0.78,0.8369287732394171
C_M,high,0.79,0.8407953327775709
C_M,high,0.8,0.8445872371902987
C_M,high,0.81,0.8483051212400429
C_M,high,0.8200000000000001,0.8519496545310427
C_M,high,0.8300000000000001,0.8555215393392374
C_M,high,0.8400000000000001,0.8590215084793899
