speed,iso,dist,C_M,L_90,mtf_h,mtf_v,bew_h,bew_v,sigma_motion,width_mm,detected
60,100,2.5,0.38,138.0,0.1104267045454545,0.13363229166666665,4.784659090909091,4.210364583333334,2.2681474680205476,0.1,0
60,100,2.5,0.38,138.0,0.1104267045454545,0.13363229166666665,4.784659090909091,4.210364583333334,2.2681474680205476,0.2,0
60,100,2.5,0.38,138.0,0.1104267045454545,0.13363229166666665,4.784659090909091,4.210364583333334,2.2681474680205476,0.3,0
60,100,2.5,0.38,138.0,0.1104267045454545,0.13363229166666665,4.784659090909091,4.210364583333334,2.2681474680205476,0.4,1
60,100,2.5,0.38,138.0,0.1104267045454545,0.13363229166666665,4.784659090909091,4.210364583333334,2.2681474680205476,0.5,1
60,100,2.5,0.38,138.0,0.1104267045454545,0.13363229166666665,4.784659090909091,4.210364583333334,2.2681474680205476,0.6,1
60,100,2.5,0.38,138.0,0.1104267045454545,0.13363229166666665,4.784659090909091,4.210364583333334,2.2681474680205476,0.7,1
60,100,2.5,0.38,138.0,0.1104267045454545,0.13363229166666665,4.784659090909091,4.210364583333334,2.2681474680205476,0.8,1
60,100,2.5,0.38,138.0,0.1104267045454545,0.13363229166666665,4.784659090909091,4.210364583333334,2.2681474680205476,0.9,1
60,100,2.5,0.38,138.0,0.1104267045454545,0.13363229166666665,4.784659090909091,4.210364583333334,2.2681474680205476,1.0,1
60,100,3.5,0.3333,98.0,0.11582604166666666,0.13770249999999995,4.515416666666667,4.119375,1.8320412741615082,0.1,0
60,100,3.5,0.3333,98.0,0.11582604166666666,0.13770249999999995,4.515416666666667,4.119375,1.8320412741615082,0.2,0
60,100,3.5,0.3333,98.0,0.11582604166666666,0.13770249999999995,4.515416666666667,4.119375,1.8320412741615082,0.3,0
60,100,3.5,0.3333,98.0,0.11582604166666666,0.13770249999999995,4.515416666666667,4.119375,1.8320412741615082,0.4,0
60,100,3.5,0.3333,98.0,0.11582604166666666,0.13770249999999995,4.515416666666667,4.119375,1.8320412741615082,0.5,0
60,100,3.5,0.3333,98.0,0.11582604166666666,0.13770249999999995,4.515416666666667,4.119375,1.8320412741615082,0.6,1
60,100,3.5,0.3333,98.0,0.11582604166666666,0.13770249999999995,4.515416666666667,4.119375,1.8320412741615082,0.7,1
60,100,3.5,0.3333,98.0,0.11582604166666666,0.13770249999999995,4.515416666666667,4.119375,1.8320412741615082,0.8,1
60,100,3.5,0.3333,98.0,0.11582604166666666,0.13770249999999995,4.515416666666667,4.119375,1.8320412741615082,0.9,1
60,100,3.5,0.3333,98.0,0.11582604166666666,0.13770249999999995,4.515416666666667,4.119375,1.8320412741615082,1.0,1
60,100,4.5,0.3274,75.0,0.114851282051282,0.13234479166666663,4.523696581196582,4.232569444444445,1.5147101742301503,0.1,1
60,100,4.5,0.3274,75.0,0.114851282051282,0.13234479166666663,4.523696581196582,4.232569444444445,1.5147101742301503,0.2,1
60,100,4.5,0.3274,75.0,0.114851282051282,0.13234479166666663,4.523696581196582,4.232569444444445,1.5147101742301503,0.3,1
60,100,4.5,0.3274,75.0,0.114851282051282,0.13234479166666663,4.523696581196582,4.232569444444445,1.5147101742301503,0.4,1
60,100,4.5,0.3274,75.0,0.114851282051282,0.13234479166666663,4.523696581196582,4.232569444444445,1.5147101742301503,0.5,1
60,100,4.5,0.3274,75.0,0.114851282051282,0.13234479166666663,4.523696581196582,4.232569444444445,1.5147101742301503,0.6,1
60,100,4.5,0.3274,75.0,0.114851282051282,0.13234479166666663,4.523696581196582,4.232569444444445,1.5147101742301503,0.7,1
60,100,4.5,0.3274,75.0,0.114851282051282,0.13234479166666663,4.523696581196582,4.232569444444445,1.5147101742301503,0.8,1
60,100,4.5,0.3274,75.0,0.114851282051282,0.13234479166666663,4.523696581196582,4.232569444444445,1.5147101742301503,0.9,1
60,100,4.5,0.3274,75.0,0.114851282051282,0.13234479166666663,4.523696581196582,4.232569444444445,1.5147101742301503,1.0,1
60,100,5.5,0.3261,61.0,0.10486875,0.1230818181818181,4.9975000000000005,4.307272727272727,2.534210418995176,0.1,1
60,100,5.5,0.3261,61.0,0.10486875,0.1230818181818181,4.9975000000000005,4.307272727272727,2.534210418995176,0.2,1
60,100,5.5,0.3261,61.0,0.10486875,0.1230818181818181,4.9975000000000005,4.307272727272727,2.534210418995176,0.3,1
60,100,5.5,0.3261,61.0,0.10486875,0.1230818181818181,4.9975000000000005,4.307272727272727,2.534210418995176,0.4,1
60,100,5.5,0.3261,61.0,0.10486875,0.1230818181818181,4.9975000000000005,4.307272727272727,2.534210418995176,0.5,1
60,100,5.5,0.3261,61.0,0.10486875,0.1230818181818181,4.9975000000000005,4.307272727272727,2.534210418995176,0.6,1
60,100,5.5,0.3261,61.0,0.10486875,0.1230818181818181,4.9975000000000005,4.307272727272727,2.534210418995176,0.7,1
60,100,5.5,0.3261,61.0,0.10486875,0.1230818181818181,4.9975000000000005,4.307272727272727,2.534210418995176,0.8,1
60,100,5.5,0.3261,61.0,0.10486875,0.1230818181818181,4.9975000000000005,4.307272727272727,2.534210418995176,0.9,1
60,100,5.5,0.3261,61.0,0.10486875,0.1230818181818181,4.9975000000000005,4.307272727272727,2.534210418995176,1.0,1
60,100,6.5,0.3611,49.0,0.1150272727272727,0.1387590909090909,4.496818181818182,3.7827272727272727,2.4315209715845674,0.1,0
60,100,6.5,0.3611,49.0,0.1150272727272727,0.1387590909090909,4.496818181818182,3.7827272727272727,2.4315209715845674,0.2,0
60,100,6.5,0.3611,49.0,0.1150272727272727,0.1387590909090909,4.496818181818182,3.7827272727272727,2.4315209715845674,0.3,0
60,100,6.5,0.3611,49.0,0.1150272727272727,0.1387590909090909,4.496818181818182,3.7827272727272727,2.4315209715845674,0.4,0
60,100,6.5,0.3611,49.0,0.1150272727272727,0.1387590909090909,4.496818181818182,3.7827272727272727,2.4315209715845674,0.5,0
60,100,6.5,0.3611,49.0,0.1150272727272727,0.1387590909090909,4.496818181818182,3.7827272727272727,2.4315209715845674,0.6,0
60,100,6.5,0.3611,49.0,0.1150272727272727,0.1387590909090909,4.496818181818182,3.7827272727272727,2.4315209715845674,0.7,0
60,100,6.5,0.3611,49.0,0.1150272727272727,0.1387590909090909,4.496818181818182,3.7827272727272727,2.4315209715845674,0.8,0
60,100,6.5,0.3611,49.0,0.1150272727272727,0.1387590909090909,4.496818181818182,3.7827272727272727,2.4315209715845674,0.9,0
60,100,6.5,0.3611,49.0,0.1150272727272727,0.1387590909090909,4.496818181818182,3.7827272727272727,2.4315209715845674,1.0,0
