width_mm,pod_point,pod_wald_lo,pod_wald_hi,pod_boot_med,pod_boot_lo,pod_boot_hi
0.05000000000000001,0.2697177883410169,0.16489823309994986,0.40856889350298575,0.26233697278260126,0.13199551349293587,0.4348655168599693
0.050935498048435834,0.27335920312636924,0.16816091008970044,0.41178929064492287,0.26617055509536836,0.1346338942883726,0.438741637006455
0.0518884992288442,0.27703113048526856,0.1714740970802375,0.4150186091503965,0.2699325200391872,0.13731667788627966,0.44256087708979885
0.05285933102414115,0.2807333255450903,0.17483801950319777,0.4182566316189773,0.2734270265040551,0.14004427730822008,0.4457180119160822
0.0538483270444353,0.28446552903865385,0.17825288045963228,0.4215031389028677,0.27725675714053766,0.14318580715641566,0.4488795381646745
0.05485582714166734,0.2882274672277799,0.1817188598232486,0.4247579102043226,0.28083934077698003,0.14601889060396878,0.45344986351274613
0.05588217752639459,0.29201885183912474,0.18523611334260973,0.4280207231758602,0.28466726657226743,0.1491061367265122,0.4582255759698798
0.05692773088676032,0.295839380012655,0.18880477174395735,0.43129135402327456,0.2886154851007676,0.15227104225294436,0.4619413934868768
0.0579928465096892,0.29968873426311593,0.19242493983640607,0.43456957761146164,0.29253750360253195,0.1555000984371192,0.46594166335084686
0.059077890404350256,0.30356658245482643,0.19609669562132295,0.43785516757306864,0.2966567780239392,0.15908208678352323,0.4695596691384604
0.060183235427929756,0.307472577790124,0.19982008940778154,0.44114789641998375,0.30047476328381484,0.16308637687253744,0.47318087748639254
0.0613092614137574,0.3114063588117625,0.20359514293604317,0.44444753565767525,0.3044183709544629,0.1664451240165365,0.47680183567207124
0.062456355301829636,0.31536754941954787,0.20742184851108417,0.4477538559023963,0.30819699306904635,0.16982516707992745,0.47975956802093334
0.06362491127177516,0.31935575890147966,0.2113001681482458,0.4510666270012717,0.312111180828183,0.1732155019584559,0.4821762833781672
0.0648153308783081,0.32337058197964413,0.21523003273314112,0.454385618155281,0.31633815372446367,0.17663951713821982,0.4865782180980388
0.06602802318921568,0.32741159887108334,0.21921134119800043,0.4577105980451567,0.3206423221375152,0.18013792645160276,0.4911866180973532
0.06726340492592742,0.33147837536384306,0.2232439597166845,0.4610413349602152,0.3247446168735728,0.18369094541498107,0.49498702047504833
0.0685219006067145,0.3355704629083789,0.22732772092063225,0.46437759693014297,0.32871245943283534,0.1873024619360843,0.4989660553988341
0.06980394269256839,0.3396873987244745,0.23146242313804302,0.46771915185975643,0.3332737782548947,0.19096959070489,0.5021828818224578
0.07110997173580887,0.3438287059238012,0.23564782965861844,0.47106576766676084,0.3374624026949994,0.19474324449692698,0.5056407606753338
0.07244043653147238,0.3479938936482215,0.23988366802620847,0.47441721242253154,0.34172152071286727,0.19865478434660744,0.508539011306136
0.07379579427153297,0.35218245722391167,0.24416962936171396,0.4777732544959435,0.34607827232407695,0.20263286285723386,0.5130520171322439
0.0751765107020088,0.35639387833135316,0.24850536771860635,0.4811336627002763,0.3502804397651932,0.20739492743217808,0.5167013525870116
0.07658306028300768,0.36062762519120817,0.2528904994734098,0.48449820644322494,0.3546715860381763,0.21220040691837658,0.5203131094710605
0.07801592635176761,0.36488315276607286,0.25732460275348573,0.48786665588004396,0.3588948969789093,0.21710567553014196,0.5239227438710983
0.07947560128874745,0.36915990297806556,0.2618072169044264,0.49123878206985766,0.36333664612587147,0.2214541821305765,0.527339335073589
0.08096258668682518,0.3734573049421812,0.26633784199933674,0.49461435713516927,0.3678897919573515,0.22518423962795608,0.5308214431640773
0.08247739352366201,0.3777747752153093,0.2709159383922339,0.49799315442459857,0.3719847726317147,0.2288545154781404,0.5346799452391238
0.0840205423372912,0.382111718060784,0.2755409263177443,0.5013749486788861,0.3763165787066211,0.23256680787636055,0.5370735878131649
0.0855925634049923,0.38646752572830384,0.2802121855392108,0.5047595162001919,0.38072393512374925,0.23677020646678587,0.5405387716526101
0.08719399692551211,0.39084157874902375,0.2849290550472488,0.5081466350247256,0.38532903104484273,0.2408302452730755,0.5450401623287218
0.08882539320469478,0.3952332462455948,0.2896908328107055,0.5115360850987355,0.38965876246217857,0.24483455241687035,0.5491806015713838
0.09048731284458551,0.39964188625689395,0.29449677558188186,0.5149276484578894,0.39421373390607184,0.24919551558600903,0.5527938486116654
0.09218032693607174,0.40406684607715154,0.2993460987577681,0.5183211094100697,0.3991220086889299,0.2539225326737112,0.55634776458143
0.09390501725512918,0.40850746260916115,0.3042379762989353,0.521716254721608,0.4035653847663516,0.2587278723663638,0.5593763294946386
0.09566197646273929,0.4129630627312165,0.309171540707595,0.5251128738069764,0.40831881257008257,0.2636585197535672,0.5637881045159102
0.09745180830854741,0.41743296367739574,0.3141458830662083,0.5285107589219435,0.41325083360011206,0.26849797436593786,0.5682139610185797
0.09927512783833119,0.4219164734307822,0.319160053137883,0.5319097053601991,0.4175720507552164,0.27302245251260226,0.5726305961722266
0.10113256160535065,0.42641289112918085,0.32421305952964924,0.5353095116534387,0.4224824983750005,0.2777756814035789,0.5776974466316842
0.10302474788565308,0.4309215074828616,0.32930386991954375,0.5387099797748864,0.42687511009046675,0.2825599505004056,0.5821502572225236
0.1049523368974055,0.43544160520383257,0.3344314113482722,0.5421109153462189,0.43153841446481755,0.28697910830752615,0.5857770605034304
0.10691599102433154,0.4399724594461228,0.3395945705760514,0.5455121278478366,0.4361966600320392,0.29209242089625514,0.5896493770661742
0.10891638504332843,0.4445133382565221,0.3447921945050561,0.5489134308324037,0.4411283736213869,0.29674613468348765,0.5943121411912895
0.1109542063563428,0.449063503035208,0.3500230906677235,0.5523146421415546,0.4456896952036067,0.3015019295252979,0.5988297545931355
0.1130301552265849,0.45362220900566075,0.3552860277809887,0.5557155841256319,0.4503481073776976,0.3068934126229983,0.6025195794707215
0.11514494501916225,0.4581887056932497,0.36057973636634755,0.559116083866288,0.45484090268941013,0.31234839136265513,0.6060769591150751
0.1172993024462158,0.46276223741185013,0.3659029094354658,0.5625159734017366,0.4596410180666761,0.31773113686513854,0.6097366880562652
0.11949396781664216,0.46734204375783245,0.3712542032408823,0.5659150899543981,0.4644756380154824,0.3229442568744531,0.6131287456149757
0.1217296952904886,0.4719273601107475,0.37663223809118285,0.569313276160619,0.46904911825925877,0.3282017710348136,0.6171297116926014
0.12400725313810734,0.47651741814001414,0.3820355992298617,0.5727103803020902,0.47337000595620904,0.3334441120127391,0.6207225192524324
0.12632742400415908,0.4811114463169038,0.3874628377769369,0.5761062565385089,0.4776496185925443,0.33780146552338247,0.6251214648645923
0.12869100517655538,0.48570867043109744,0.3929124717322388,0.5795007651409452,0.4821811488679303,0.3429780324679817,0.6300099875571515
0.13109880886043362,0.49030831411109,0.3983829870391719,0.5828937727252832,0.4867881363364719,0.34801324947396417,0.6348548425944348
0.13355166245725755,0.4949095993476938,0.40387283870763313,0.5862851524849925,0.4918603881875246,0.35293365211781674,0.6395856239236051
0.13605040884914002,0.49951174701989814,0.4093804519946774,0.5896747844223635,0.49639794227812595,0.35822514648676596,0.6436658558971187
0.13859590668848534,0.5041139774223288,0.41490422364145507,0.5930625555772029,0.5011653850364619,0.36391795318411785,0.6476404801040296
0.14118903069305078,0.5087155107935463,0.4204425231648923,0.596448360251824,0.5061536694794277,0.3685071955290875,0.6510438386726748
0.14383067194652868,0.513315567844427,0.4259936942025709,0.5998321002309961,0.511112098340518,0.37427169927856213,0.6544318461619741
0.14652173820475248,0.5179133702858646,0.43155605590927126,0.6032136849953147,0.5157880232117596,0.3793608667980523,0.6578042290915135
0.1492631542076319,0.5225081413550307,0.43712790440368426,0.6065930319262378,0.5206563355914264,0.3851581109780964,0.6611678613204034
0.1520558619969242,0.527099106339442,0.4427075142638767,0.6099700665007864,0.5255244175929357,0.39095866916190297,0.665547712127058
0.15490082123995116,0.5316854930980843,0.44829314007021087,0.6133447224736424,0.5302037288358575,0.39689482655737035,0.6704331670176656
0.15779900955937276,0.5362665325788474,0.4538830179945715,0.6167169420440712,0.534832118874129,0.4015468622845381,0.6743123950773312
0.16075142286913074,0.5408414593315399,0.45947536743495665,0.620086676004781,0.5398792245749903,0.4063108808972727,0.6783287966199312
0.16375907571667783,0.5454095120157614,0.46506839269472766,0.6234538838694617,0.5442550310337364,0.4108456155765142,0.6825910768849863
0.16682300163160996,0.549969933902918,0.4706602847061029,0.6268185339753722,0.5489958452408166,0.41561659841491144,0.6866059934204438
0.1699442534808215,0.5545219733716913,0.4762492227978162,0.6301806035569195,0.5538502952054769,0.42032515389491143,0.6890883138953353
0.1731239038303053,0.5590648843962737,0.4818333765072364,0.6335400787857305,0.5585360896722595,0.4250685177329467,0.6915540477279138
0.17636304531372213,0.5635979270267137,0.48741090743767695,0.6368969547722427,0.5628370611353931,0.4298101712415717,0.6941630905826299
0.17966279100786586,0.5681203678607225,0.4929799711620791,0.6402512355233407,0.5671656764178852,0.4345767357231817,0.6984315840343215
0.18302427481515368,0.5726314805063227,0.49853871917477216,0.643602933850047,0.5717999761667529,0.43933694535283746,0.7021232781279582
0.1864486518532728,0.577130546034735,0.5040853008935345,0.6469520712187393,0.5766086062082157,0.4441257342120248,0.7063345190895396
0.18993709885211735,0.5816168534229255,0.5096178657147503,0.6502986775388327,0.5815313821467183,0.4501463322619494,0.7094003731861558
0.19349081455815173,0.5860896999852598,0.5151345651250194,0.6536427908793238,0.5860894041566174,0.4566047351195828,0.713463784479804
0.1971110201463399,0.5905483917937357,0.5206335548731553,0.6569844571060817,0.5907195538772161,0.46197588444679294,0.7169033751796053
0.20079895963978175,0.5949922440862914,0.5261129972070486,0.660323729431295,0.5952429653254205,0.46624389207457034,0.7213838311859662
0.20455590033720095,0.5994205816627145,0.531571063180392,0.6636606678660504,0.6000838882497679,0.47065870510840274,0.7260893341059941
0.20838313324843064,0.6038327392677073,0.5370059350346988,0.6669953385666859,0.6043790660618158,0.4752623409633188,0.730784440747565
0.21228197353804762,0.6082280619606885,0.542415808662406,0.6703278130653246,0.6083528459357164,0.48024077875360244,0.7345164685972956
0.21625376097730656,0.6126059054719456,0.5477988961570678,0.6736581673749076,0.612829817450739,0.4847321610783606,0.738812586895344
0.22029986040453012,0.6169656365447787,0.5531534284566995,0.6769864809591352,0.6175516562731085,0.4893444639256943,0.743055863142018
0.22442166219411255,0.6213066332633095,0.558477658086179,0.6803128355580438,0.6215694668797646,0.4939074957102117,0.7465324111484093
0.2286205827342989,0.6256282853656618,0.5637698620041973,0.6836373138605265,0.6258818444609362,0.49984228524009805,0.749569239429156
0.23289806491390283,0.6299299945422442,0.5690283445595311,0.6869599980160044,0.6305104792180799,0.5058868965665295,0.75186609690385
0.2372555786181315,0.6342111747189061,0.5742514405603413,0.6902809679787193,0.6344322670745097,0.5106756031326912,0.7540238582069266
0.24169462123368698,0.6384712523247644,0.5794375184587256,0.6936002996797951,0.6389714656756225,0.5157237251824309,0.758051233337128
0.246216718163318,0.6427096665445288,0.5845849836508235,0.6969180630243441,0.6432801699039594,0.5219151836619949,0.7615347148575929
0.25082342334999913,0.6469258695551892,0.5896922818903669,0.7002343197135246,0.6477275427705272,0.5276970906579892,0.7651902353988126
0.25551631981091744,0.6511193267469554,0.594757902810636,0.7035491208945999,0.6519742695870739,0.5325624463935796,0.7680723277063465
0.2602970201814498,0.655289516928376,0.5997803835463225,0.7068625046457336,0.6559739253422383,0.5374798532164002,0.7716462057812123
0.2651671672693179,0.6594359325155832,0.6047583124428207,0.7101744933064628,0.6602910731246459,0.5424032359828889,0.7759423566294913
0.27012843461911196,0.6635580797056546,0.6096903328359953,0.7134850906694914,0.6648016367187342,0.548291479708152,0.7793960514316229
0.27518252708737595,0.6676554786340995,0.6145751468805547,0.7167942790545895,0.6689786485098821,0.5530454670995447,0.7827713835067426
0.28033118142845354,0.6717276635165136,0.6194115193999256,0.7201020162908541,0.6730995541854714,0.5567860330367529,0.786211326982962
0.28557616689129406,0.6757741827744718,0.6241982817250444,0.7234082326392836,0.6772505386536576,0.5611227432836636,0.7903499762918493
0.2909192858274259,0.6797945991457542,0.6289343354839885,0.7267128276933388,0.6816416000720131,0.5664579742584973,0.7927769692514192
