speed,iso,dist,C_M,L_90,mtf_h,mtf_v,bew_h,bew_v,sigma_motion,blur_err_pct,min_crack_mm,identifiable,identifiable_bin,mdw_mm,D_Y,uniformity_pct,D_L,Y_mean,Y_std
80,200,2.5,0.3566,194.0,0.10625,0.140875,4.776875,4.154375,2.357902272147852,36.27291156357157,0.1,Y,1,0.1,87.07,12.93,25.98,121.15,43.98
80,200,3.5,0.318,143.0,0.1048923076923076,0.14619375,4.8076923076923075,4.045,2.598438054956051,29.77194446064727,0.3,Y,1,0.3,84.31,15.69,19.33,108.51,35.93
80,200,4.5,0.2899,109.0,0.0950533333333333,0.1270133333333333,5.322,4.3806666666666665,3.022158757503576,18.320033580984436,0.4,Y,1,0.4,84.25,15.75,29.74,93.35,36.76
80,200,5.5,0.295,90.0,,,,,,,0.4,Y,1,0.4,84.8,15.2,29.15,82.01,36.17
80,200,6.5,0.3158,75.0,,,,,,,,N,0,,85.18,14.82,33.9,69.96,34.75
80,400,2.5,0.3546,191.0,0.0940214285714285,0.1038111111111111,5.653571428571429,5.198888888888889,2.2213563917000902,39.96334076486242,0.4,Y,1,0.4,84.01,15.99,7.24,150.33,37.73
80,400,3.5,0.2995,141.0,0.0994181818181818,0.1456818181818182,5.017272727272727,4.053636363636364,2.956528006165283,20.093837671208572,0.5,Y,1,0.5,76.99,23.01,12.31,141.15,31.11
80,400,4.5,0.2735,156.0,,,,,,,0.1,Y,1,0.1,76.47,23.53,13.35,127.61,30.35
80,400,5.5,0.2727,133.0,,,,,,,0.7,Y,1,0.7,77.1,22.9,16.01,120.0,32.17
80,400,6.5,0.2883,105.0,,,,,,,0.1,Y,1,0.1,74.56,25.44,15.25,108.96,28.74
80,800,2.5,0.1778,255.0,0.1183944444444444,0.1638333333333333,4.558888888888889,3.7266666666666666,2.6259138327047458,29.029355872844715,0.1,Y,1,0.1,73.13,26.87,14.7,156.83,29.99
80,800,3.5,0.25,255.0,0.104,0.1421105263157894,4.819999999999999,4.061578947368421,2.5953759755175403,29.854703364390804,0.5,Y,1,0.5,64.08,35.92,13.02,161.42,30.07
80,800,4.5,0.2706,216.0,0.0980214285714285,0.1264722222222222,5.167857142857143,4.3533333333333335,2.7848224966536876,24.734527117467906,0.3,Y,1,0.3,62.47,37.53,7.28,151.42,28.43
80,800,5.5,0.2575,188.0,,,,,,,0.1,Y,1,0.1,64.32,35.68,8.59,143.35,27.2
80,800,6.5,0.2667,152.0,,,,,,,0.1,Y,1,0.1,64.19,35.81,7.15,138.05,23.18
